2019-07-03 10:37:10.737 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-07-03 10:37:10.756 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@13b6aecc, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@158a8276, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@3c3d9b6b, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@79d8407f, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5fbe4146, org.springframework.test.context.transaction.TransactionalTestExecutionListener@1e66f1f5, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@4e50c791, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@7530ad9c, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@58a9760d, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@71e9ddb4, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@394df057, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@4961f6af]
2019-07-03 10:37:10.976 [main] INFO  com.shuizhi.ShuizhiApplicationTests - Starting ShuizhiApplicationTests on PC201811231606 with PID 9808 (started by Administrator in D:\物联网\水质解析\水质)
2019-07-03 10:37:10.977 [main] INFO  com.shuizhi.ShuizhiApplicationTests - No active profile set, falling back to default profiles: default
2019-07-03 10:37:11.844 [main] INFO  com.shuizhi.ShuizhiApplicationTests - Starting ShuizhiApplicationTests on PC201811231606 with PID 7864 (started by Administrator in D:\物联网\水质解析\水质)
2019-07-03 10:37:11.844 [main] INFO  com.shuizhi.ShuizhiApplicationTests - No active profile set, falling back to default profiles: default
2019-07-03 10:37:14.716 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-07-03 10:37:15.891 [main] INFO  com.shuizhi.ShuizhiApplicationTests - Started ShuizhiApplicationTests in 5.573 seconds (JVM running for 8.213)
2019-07-03 10:37:16.192 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-07-03 10:37:16.608 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
